,Country,year,Average Temp in C
0,Mali,2010,30.1
1,Djibouti,2000,29.9
2,Djibouti,2009,29.9
3,Djibouti,2012,29.9
4,Djibouti,1998,29.8
5,Djibouti,2003,29.8
6,Djibouti,2005,29.8
7,Djibouti,2006,29.8
8,Djibouti,2007,29.8
9,Djibouti,2010,29.8
10,Djibouti,2011,29.8
11,United Arab Emirates,2010,29.7
12,Burkina Faso,2013,29.6
13,Mali,1987,29.6
14,Benin,2013,29.5
15,Djibouti,1980,29.5
16,Djibouti,1988,29.5
17,Djibouti,2001,29.5
18,Djibouti,2002,29.5
19,Djibouti,2004,29.5
20,Mali,1998,29.5
21,Mali,2005,29.5
22,Djibouti,1941,29.4
23,Djibouti,1999,29.4
24,Mali,2002,29.4
25,Mali,2003,29.4
26,Mali,2004,29.4
27,Mali,2009,29.4
28,Mali,2011,29.4
29,Mauritania,2010,29.4
30,United Arab Emirates,2012,29.4
31,Burkina Faso,2010,29.3
32,Djibouti,1915,29.3
33,Djibouti,1990,29.3
34,Djibouti,1991,29.3
35,Djibouti,1995,29.3
36,Djibouti,1997,29.3
37,Djibouti,2008,29.3
38,Mali,1983,29.3
39,Mali,1990,29.3
40,Mali,2001,29.3
41,Niger,2010,29.3
42,Senegal,1998,29.3
43,Senegal,2010,29.3
44,United Arab Emirates,1998,29.3
45,United Arab Emirates,1999,29.3
46,Burkina Faso,1987,29.2
47,Burkina Faso,2005,29.2
48,Djibouti,1942,29.2
49,Djibouti,1969,29.2
50,Djibouti,1983,29.2
51,Djibouti,1996,29.2
52,Mali,1931,29.2
53,Mali,1969,29.2
54,Mali,1980,29.2
55,Mali,1996,29.2
56,Mali,2007,29.2
57,United Arab Emirates,2003,29.2
58,United Arab Emirates,2007,29.2
59,United Arab Emirates,2011,29.2
60,Burkina Faso,2009,29.1
61,Burkina Faso,2011,29.1
62,Djibouti,1944,29.1
63,Djibouti,1945,29.1
64,Djibouti,1963,29.1
65,Djibouti,1972,29.1
66,Djibouti,1973,29.1
67,Djibouti,1978,29.1
68,Djibouti,1987,29.1
69,Mali,1941,29.1
70,Mali,1997,29.1
71,Mali,2000,29.1
72,Mauritania,1987,29.1
73,Senegal,1983,29.1
74,United Arab Emirates,2004,29.1
75,United Arab Emirates,2009,29.1
76,Aruba,1998,29.0
77,Aruba,2010,29.0
78,Burkina Faso,1998,29.0
79,Burkina Faso,2002,29.0
80,Burkina Faso,2004,29.0
81,Burkina Faso,2007,29.0
82,Djibouti,1919,29.0
83,Djibouti,1940,29.0
84,Djibouti,1947,29.0
85,Djibouti,1958,29.0
86,Djibouti,1970,29.0
87,Djibouti,1977,29.0
88,Djibouti,1979,29.0
89,Djibouti,1982,29.0
90,Djibouti,1992,29.0
91,Djibouti,1994,29.0
92,Ghana,2013,29.0
93,Mali,1937,29.0
94,Mali,1979,29.0
95,Mali,1993,29.0
96,Mali,2006,29.0
97,Mauritania,1998,29.0
98,Senegal,2002,29.0
99,Senegal,2005,29.0
100,Togo,2013,29.0
101,United Arab Emirates,2001,29.0
102,United Arab Emirates,2002,29.0
103,United Arab Emirates,2005,29.0
104,United Arab Emirates,2006,29.0
105,Burkina Faso,2003,28.9
106,Burkina Faso,2006,28.9
