"","parent_location","country","sex","cause","cause_indicator","pollution_type","value","low_value","high_value"
"1","Africa","Algeria","Female","Trachea, bronchus, lung cancers","ENVCAUSE068","ambient",0.63,0.39,0.9
"2","Africa","Algeria","Female","Trachea, bronchus, lung cancers","ENVCAUSE068","ambient and household",0.83,0.44,1.89
"3","Africa","Algeria","Female","Trachea, bronchus, lung cancers","ENVCAUSE068","household",0.2,0.05,0.99
"4","Africa","Algeria","Both sexes","Trachea, bronchus, lung cancers","ENVCAUSE068","ambient",1.66,1.02,2.36
"5","Africa","Algeria","Both sexes","Trachea, bronchus, lung cancers","ENVCAUSE068","ambient and household",2.07,1.13,4.41
"6","Africa","Algeria","Both sexes","Trachea, bronchus, lung cancers","ENVCAUSE068","household",0.41,0.11,2.05
"7","Africa","Algeria","Female","Chronic obstructive pulmonary disease","ENVCAUSE118","ambient",2.42,1.38,3.58
"8","Africa","Algeria","Female","Chronic obstructive pulmonary disease","ENVCAUSE118","ambient and household",2.92,1.53,5.49
"9","Africa","Algeria","Female","Chronic obstructive pulmonary disease","ENVCAUSE118","household",0.5,0.15,1.91
"10","Africa","Algeria","Male","Trachea, bronchus, lung cancers","ENVCAUSE068","ambient",2.69,1.65,3.84
"11","Africa","Algeria","Male","Trachea, bronchus, lung cancers","ENVCAUSE068","ambient and household",3.32,1.83,6.95
"12","Africa","Algeria","Male","Trachea, bronchus, lung cancers","ENVCAUSE068","household",0.63,0.18,3.11
"13","Africa","Algeria","Female","Ischaemic heart disease","ENVCAUSE113","ambient",21.97,17.24,26.95
"14","Africa","Algeria","Female","Ischaemic heart disease","ENVCAUSE113","ambient and household",24.94,17.94,42.62
"15","Africa","Algeria","Female","Ischaemic heart disease","ENVCAUSE113","household",2.97,0.700000000000003,15.67
"16","Africa","Algeria","Both sexes","Ischaemic heart disease","ENVCAUSE113","ambient",24.71,19.71,29.71
"17","Africa","Algeria","Both sexes","Ischaemic heart disease","ENVCAUSE113","ambient and household",27.82,20.64,46.25
"18","Africa","Algeria","Both sexes","Ischaemic heart disease","ENVCAUSE113","household",3.11,0.93,16.54
"19","Africa","Algeria","Male","Ischaemic heart disease","ENVCAUSE113","ambient",27.45,22.13,32.59
"20","Africa","Algeria","Male","Ischaemic heart disease","ENVCAUSE113","ambient and household",30.69,23.07,49.8
"21","Africa","Algeria","Male","Ischaemic heart disease","ENVCAUSE113","household",3.24,0.940000000000001,17.21
"22","Africa","Algeria","Both sexes","Chronic obstructive pulmonary disease","ENVCAUSE118","ambient",3.27,1.87,4.85
"23","Africa","Algeria","Both sexes","Chronic obstructive pulmonary disease","ENVCAUSE118","ambient and household",3.85,2.05,7.04
"24","Africa","Algeria","Both sexes","Chronic obstructive pulmonary disease","ENVCAUSE118","household",0.58,0.18,2.19
"25","Africa","Algeria","Female","Total","ENVCAUSE000","ambient",38.28,33.17,43.99
"26","Africa","Algeria","Female","Total","ENVCAUSE000","ambient and household",44.31,33.8,78.8
"27","Africa","Algeria","Female","Total","ENVCAUSE000","household",6.03,0.629999999999995,34.81
"28","Africa","Algeria","Male","Chronic obstructive pulmonary disease","ENVCAUSE118","ambient",4.19,2.39,6.21
"29","Africa","Algeria","Male","Chronic obstructive pulmonary disease","ENVCAUSE118","ambient and household",4.84,2.57,8.85
"30","Africa","Algeria","Male","Chronic obstructive pulmonary disease","ENVCAUSE118","household",0.649999999999999,0.18,2.64
"31","Africa","Algeria","Both sexes","Total","ENVCAUSE000","ambient",43.31,37.7,49.25
"32","Africa","Algeria","Both sexes","Total","ENVCAUSE000","ambient and household",49.68,38.61,86.22
"33","Africa","Algeria","Both sexes","Total","ENVCAUSE000","household",6.37,0.909999999999997,36.97
"34","Africa","Algeria","Male","Total","ENVCAUSE000","ambient",48.47,42.18,54.79
"35","Africa","Algeria","Male","Total","ENVCAUSE000","ambient and household",55.17,43.53,94.32
"36","Africa","Algeria","Male","Total","ENVCAUSE000","household",6.7,1.35,39.53
"37","Africa","Algeria","Female","Lower respiratory infections","ENVCAUSE039","ambient",6.28,4.59,8.05
"38","Africa","Algeria","Female","Lower respiratory infections","ENVCAUSE039","ambient and household",7.5,4.96,14.17
"39","Africa","Algeria","Female","Lower respiratory infections","ENVCAUSE039","household",1.22,0.37,6.12
"40","Africa","Algeria","Both sexes","Lower respiratory infections","ENVCAUSE039","ambient",6.4,4.68,8.21
"41","Africa","Algeria","Both sexes","Lower respiratory infections","ENVCAUSE039","ambient and household",7.58,5.05,14.07
"42","Africa","Algeria","Both sexes","Lower respiratory infections","ENVCAUSE039","household",1.18,0.37,5.86
"43","Africa","Algeria","Male","Lower respiratory infections","ENVCAUSE039","ambient",6.57,4.8,8.42
"44","Africa","Algeria","Male","Lower respiratory infections","ENVCAUSE039","ambient and household",7.71,5.16,14.23
"45","Africa","Algeria","Male","Lower respiratory infections","ENVCAUSE039","household",1.14,0.36,5.81
"46","Africa","Algeria","Female","Stroke","ENVCAUSE114","ambient",6.99,5.22,9.4
"47","Africa","Algeria","Female","Stroke","ENVCAUSE114","ambient and household",8.11,5.43,14.72
"48","Africa","Algeria","Female","Stroke","ENVCAUSE114","household",1.12,0.21,5.32
"49","Africa","Algeria","Both sexes","Stroke","ENVCAUSE114","ambient",7.27,5.47,9.68
"50","Africa","Algeria","Both sexes","Stroke","ENVCAUSE114","ambient and household",8.35,5.69,14.78
"51","Africa","Algeria","Both sexes","Stroke","ENVCAUSE114","household",1.08,0.220000000000001,5.1
"52","Africa","Algeria","Male","Stroke","ENVCAUSE114","ambient",7.57,5.74,9.98
"53","Africa","Algeria","Male","Stroke","ENVCAUSE114","ambient and household",8.61,6.01,14.82
"54","Africa","Algeria","Male","Stroke","ENVCAUSE114","household",1.04,0.27,4.84
"55","Africa","Angola","Female","Trachea, bronchus, lung cancers","ENVCAUSE068","ambient",0.2,0.11,0.29
"56","Africa","Angola","Female","Trachea, bronchus, lung cancers","ENVCAUSE068","ambient and household",0.64,0.48,0.78
"57","Africa","Angola","Female","Trachea, bronchus, lung cancers","ENVCAUSE068","household",0.44,0.37,0.49
"58","Africa","Angola","Both sexes","Trachea, bronchus, lung cancers","ENVCAUSE068","ambient",0.29,0.17,0.43
"59","Africa","Angola","Both sexes","Trachea, bronchus, lung cancers","ENVCAUSE068","ambient and household",0.85,0.62,1.06
"60","Africa","Angola","Both sexes","Trachea, bronchus, lung cancers","ENVCAUSE068","household",0.56,0.45,0.63
"61","Africa","Angola","Male","Trachea, bronchus, lung cancers","ENVCAUSE068","ambient",0.41,0.24,0.61
