Country,latest year available,Total GHG emissions ,GHG from Energy,"GHG from Energy 
of which: from Transport",GHG from Industrial Processes,GHG from Agriculture,GHG from Waste
,,mio. tonnes of CO2 equivalent,%,%,%,%,%
Afghanistan,2005,19.32802,19.53723144,8.747869673,1.615064554,78.17303583,0.674719914
Albania,1994,5.53387,56.10865452,14.40745807,3.792463502,33.95959789,6.139284081
Algeria,2000,111.02259,78.89889796,11.52016,4.921367805,5.885847196,10.29388704
Angola,2005,61.61076,61.24264658,...,0.571328774,36.64197617,1.544048475
Antigua and Barbuda,2000,0.59775,62.35382685,30.55290673,...,17.45378503,20.19238812
Argentina,2000,282.00076,46.79453346,14.26859984,3.938897186,44.29753664,4.969036254
Armenia,2010,7.20217,69.53904171,17.32450081,3.13738776,18.3575228,8.966047733
Australia,2012,543.64845,76.03421844,16.5926602,5.74006419,16.06931097,2.156406406
Austria,2012,80.05936,74.55908966,27.02473515,13.58646884,9.366837307,2.069714272
Azerbaijan,1994,43.16597,10.43910284,...,...,8.531326876,4.075432569
Bahamas,1994,2.1972,84.93537229,...,...,0.955761879,...
Bahrain,2000,22.3728,77.11596224,6.789494386,11.24490453,...,11.63913323
Bangladesh,2005,99.44224,38.86182572,5.530848863,2.929036997,43.36073886,14.84839843
Barbados,1997,4.05644,49.97781306,6.203962095,4.215519027,1.649722417,44.1569455
Belarus,2012,89.28333,61.9419325,8.083524662,4.787366242,26.17680143,7.021669107
Belgium,2012,116.52032,81.0157061,21.41072905,9.588756708,7.944133693,1.294452332
Belize,1994,6.33501,9.57930611,4.955004017,0.004577735,4.267870138,86.14793031
Benin,2000,6.25103,30.08896134,14.526726,...,67.81282445,2.098214214
Bhutan,2000,1.5559,17.22989909,7.591104827,15.28118774,64.5902693,2.898643872
Bolivia (Plurinational State of),2004,43.6651,20.69055149,9.789397024,48.71299963,26.69676698,3.899681897
Bosnia and Herzegovina,2001,16.11846,76.49942985,...,3.70153228,13.66650412,6.132533753
Botswana,1994,9.29174,41.35425658,8.622604593,2.268681646,54.52810776,1.848954017
Brazil,2005,862.80888,38.10646919,15.5932563,8.947390528,48.18807614,4.75806415
Bulgaria,2012,61.25908,77.00030755,13.74504808,6.358600227,10.67358504,5.900594655
Burkina Faso,1994,5.96824,15.21805423,5.412315859,...,78.89109687,5.891016447
Burundi,2005,26.47402,1.346565425,0.400165898,0.000604366,97.89725928,0.75553316
Cabo Verde,2000,0.44766,65.60112585,30.72644418,0.189876245,29.23200643,4.976991467
Cambodia,1994,12.76259,14.73924964,6.513489817,0.390594699,82.73602772,2.134127947
Cameroon,1994,165.72502,1.954792342,0.816026452,35.31358753,61.68760758,1.044012546
Canada,2012,698.62647,80.98159665,27.92789973,8.081153868,7.948253092,2.944603573
Central African Republic,1994,37.737,50.15767019,0.32329014,...,43.04459814,6.797731669
Chad,1993,8.0211,3.860443081,...,...,90.99774345,5.141813467
Chile,2006,78.95519,73.23144938,21.62729265,6.642970525,16.97270312,3.152876967
China,2005,7465.86172,77.28317261,5.770077402,10.24511234,10.97433934,1.497375711
Colombia,2004,153.88477,42.8704608,14.14609126,5.894092053,44.55644311,6.679004037
Comoros,1994,0.51213,13.76994123,...,...,85.61107531,0.618983461
Congo,2000,2.06505,78.0455679,18.67509261,0.233408392,15.72359023,5.997433476
Cook Islands,1994,0.0803,40.54794521,19.9875467,...,12.85180573,46.58779577
Costa Rica,2005,12.11403,46.99600381,32.11895628,4.099378985,38.00073138,10.90388582
Côte d'Ivoire,2000,271.19746,24.55284426,0.812227371,0.000604725,71.76022593,3.686325086
Croatia,2012,26.44962,71.54416585,21.58514943,10.77750833,12.8344755,4.255675507
Cuba,1996,40.19487,66.28756356,...,3.027227106,25.56254069,5.122668639
